entry_time,exit_time,pnl,size
2024-01-01 00:00:00,2024-01-01 10:00:00,160.75783063995107,1.0
2024-01-01 01:00:00,2024-01-01 11:00:00,-2.0560557350507187,1.0
2024-01-01 02:00:00,2024-01-01 12:00:00,28.918367311872533,1.0
2024-01-01 03:00:00,2024-01-01 13:00:00,-117.89234912983252,1.0
2024-01-01 04:00:00,2024-01-01 14:00:00,-21.966945235096013,1.0
2024-01-01 05:00:00,2024-01-01 15:00:00,60.95260452086012,1.0
2024-01-01 06:00:00,2024-01-01 16:00:00,-155.53737338412424,1.0
2024-01-01 07:00:00,2024-01-01 17:00:00,20.084509311570958,1.0
2024-01-01 08:00:00,2024-01-01 18:00:00,10.07910726448063,1.0
2024-01-01 09:00:00,2024-01-01 19:00:00,4.128745558743939,1.0
